                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:14,2013/08/04T19:54:52,          0.605,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:14,2013/08/04T19:56:11,          4.838,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:15,2013/08/04T19:56:11,          5.032,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:16,2013/08/04T19:54:17,         10.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:17,2013/08/04T19:54:17,          1.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:17,2013/08/04T19:56:11,          5.149,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:18,2013/08/04T19:54:18,          2.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:18,2013/08/04T19:54:19,          5.500,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:18,2013/08/04T19:54:25,          0.714,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:18,2013/08/04T19:54:28,          0.600,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:20,2013/08/04T19:54:20,         11.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:21,2013/08/04T19:54:21,          2.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:22,2013/08/04T19:54:22,          7.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:22,2013/08/04T19:54:32,          0.600,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:25,2013/08/04T19:54:27,          5.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:27,2013/08/04T19:54:27,          2.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:27,2013/08/04T19:54:31,        196.250,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:29,2013/08/04T19:54:29,         11.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:29,2013/08/04T19:54:31,          5.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:29,2013/08/04T19:56:11,          8.020,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:30,2013/08/04T19:54:30,          9.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:31,2013/08/04T19:54:32,         10.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:32,2013/08/04T19:54:32,          2.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:33,2013/08/04T19:54:34,          6.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:35,2013/08/04T19:54:36,          9.500,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:36,2013/08/04T19:54:36,          3.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:39,2013/08/04T19:55:39,          0.350,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:40,2013/08/04T19:54:45,        159.200,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:42,2013/08/04T19:54:43,          8.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:42,2013/08/04T19:54:44,          5.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:44,2013/08/04T19:54:44,          1.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:45,2013/08/04T19:54:45,          1.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:48,2013/08/04T19:54:48,          7.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:48,2013/08/04T19:54:49,          7.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:48,2013/08/04T19:54:58,          0.600,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:49,2013/08/04T19:54:49,          1.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:54,2013/08/04T19:54:55,         10.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:55,2013/08/04T19:54:55,          1.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:56,2013/08/04T19:55:57,          0.311,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:57,2013/08/04T19:55:58,          0.328,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:58,2013/08/04T19:54:58,          1.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:58,2013/08/04T19:55:59,          1.607,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:59,2013/08/04T19:55:00,          6.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:54:59,2013/08/04T19:55:09,          0.400,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:55:00,2013/08/04T19:55:00,         11.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:55:01,2013/08/04T19:55:01,          8.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:55:01,2013/08/04T19:55:02,          9.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:55:07,2013/08/04T19:55:10,          3.333,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:55:09,2013/08/04T19:55:09,          9.000,
                              10.5.17.2,                              10.5.18.2,2013/08/04T19:55:10,2013/08/04T19:55:10,          8.000,
