                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:14,2013/08/04T19:54:15,         10.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:14,2013/08/04T19:56:11,          4.836,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:14,2013/08/04T19:56:12,          3.729,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:15,2013/08/04T19:54:15,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:16,2013/08/04T19:54:16,         11.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:17,2013/08/04T19:54:17,          7.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:17,2013/08/04T19:56:11,          5.965,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:18,2013/08/04T19:54:28,          0.600,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:18,2013/08/04T19:54:39,          0.095,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:19,2013/08/04T19:54:20,         10.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:19,2013/08/04T19:54:22,         25.333,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:20,2013/08/04T19:54:20,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:20,2013/08/04T19:54:23,          7.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:20,2013/08/04T19:54:51,          0.258,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:21,2013/08/04T19:54:21,         10.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:21,2013/08/04T19:54:22,         10.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:21,2013/08/04T19:54:23,          5.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:22,2013/08/04T19:54:22,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:23,2013/08/04T19:54:23,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:23,2013/08/04T19:54:25,          5.500,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:23,2013/08/04T19:56:11,          6.769,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:24,2013/08/04T19:54:25,          9.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:24,2013/08/04T19:55:21,          0.368,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:24,2013/08/04T19:55:46,          0.122,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:25,2013/08/04T19:54:25,          5.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:25,2013/08/04T19:55:25,          0.333,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:30,2013/08/04T19:54:30,          9.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:31,2013/08/04T19:54:31,          3.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:31,2013/08/04T19:56:11,          5.300,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:33,2013/08/04T19:55:59,          0.035,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:34,2013/08/04T19:54:34,         11.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:34,2013/08/04T19:54:35,         10.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:35,2013/08/04T19:54:35,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:37,2013/08/04T19:54:38,         10.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:38,2013/08/04T19:54:38,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:39,2013/08/04T19:54:39,          2.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:40,2013/08/04T19:54:40,         11.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:42,2013/08/04T19:55:43,          0.344,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:47,2013/08/04T19:54:57,          0.600,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:48,2013/08/04T19:55:49,          0.344,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:49,2013/08/04T19:54:50,         10.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:49,2013/08/04T19:55:45,          0.107,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:50,2013/08/04T19:54:50,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:50,2013/08/04T19:55:50,          0.350,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:51,2013/08/04T19:55:01,          0.700,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:58,2013/08/04T19:54:59,         10.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:54:59,2013/08/04T19:54:59,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:55:00,2013/08/04T19:55:02,          5.500,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:55:00,2013/08/04T19:55:11,          0.455,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:55:02,2013/08/04T19:55:02,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:55:07,2013/08/04T19:56:09,          0.290,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:55:10,2013/08/04T19:55:13,          2.333,
                              10.5.17.2,                              10.5.20.2,2013/08/04T19:55:10,2013/08/04T19:55:14,          2.250,
