                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:14,2013/08/04T19:54:49,          0.143,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:14,2013/08/04T19:56:11,          5.795,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:15,2013/08/04T19:56:11,          6.466,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:17,2013/08/04T19:54:17,         19.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:18,2013/08/04T19:54:18,          2.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:18,2013/08/04T19:54:24,          1.833,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:18,2013/08/04T19:54:28,          0.700,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:18,2013/08/04T19:54:29,          0.636,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:19,2013/08/04T19:54:29,          0.600,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:20,2013/08/04T19:54:21,         11.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:20,2013/08/04T19:54:22,          5.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:21,2013/08/04T19:54:34,          0.615,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:21,2013/08/04T19:55:59,          1.102,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:22,2013/08/04T19:54:22,          1.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:22,2013/08/04T19:54:23,         10.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:24,2013/08/04T19:54:24,          1.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:24,2013/08/04T19:55:46,          0.061,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:27,2013/08/04T19:55:27,          0.333,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:28,2013/08/04T19:54:38,          0.600,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:29,2013/08/04T19:54:31,          5.500,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:29,2013/08/04T19:54:39,          0.600,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:29,2013/08/04T19:55:31,          0.032,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:31,2013/08/04T19:54:31,          1.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:31,2013/08/04T19:54:32,          7.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:31,2013/08/04T19:54:42,          0.545,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:32,2013/08/04T19:54:33,         36.500,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:32,2013/08/04T19:54:35,         21.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:33,2013/08/04T19:54:33,          1.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:33,2013/08/04T19:54:34,         15.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:34,2013/08/04T19:54:34,          1.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:34,2013/08/04T19:54:35,         10.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:35,2013/08/04T19:54:35,         11.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:37,2013/08/04T19:54:40,          2.667,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:38,2013/08/04T19:54:39,         10.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:39,2013/08/04T19:54:39,          1.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:41,2013/08/04T19:54:46,        158.200,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:43,2013/08/04T19:55:44,          0.328,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:47,2013/08/04T19:54:48,         10.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:47,2013/08/04T19:54:56,         87.889,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:48,2013/08/04T19:54:48,          1.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:48,2013/08/04T19:55:49,          0.328,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:49,2013/08/04T19:54:49,          2.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:49,2013/08/04T19:55:01,          0.500,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:50,2013/08/04T19:54:57,        114.571,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:51,2013/08/04T19:55:01,          0.600,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:52,2013/08/04T19:54:53,         10.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:53,2013/08/04T19:54:53,          1.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:53,2013/08/04T19:54:58,          1.400,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:57,2013/08/04T19:54:57,          1.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:58,2013/08/04T19:54:58,          1.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:58,2013/08/04T19:56:11,          8.438,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:54:59,2013/08/04T19:55:09,          0.600,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:55:00,2013/08/04T19:55:00,         11.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:55:00,2013/08/04T19:55:56,          0.125,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:55:02,2013/08/04T19:55:03,         11.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:55:02,2013/08/04T19:55:04,          4.500,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:55:02,2013/08/04T19:55:11,         88.000,
                              10.5.17.2,                               10.5.6.2,2013/08/04T19:55:02,2013/08/04T19:55:12,          0.700,
