                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:14,2013/08/04T19:54:54,          0.150,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:14,2013/08/04T19:56:11,          5.134,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:15,2013/08/04T19:54:15,         12.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:15,2013/08/04T19:54:18,        260.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:15,2013/08/04T19:54:47,          0.156,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:15,2013/08/04T19:56:11,          5.224,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:16,2013/08/04T19:56:11,          5.504,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:18,2013/08/04T19:54:18,          2.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:19,2013/08/04T19:54:20,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:19,2013/08/04T19:54:22,        259.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:19,2013/08/04T19:54:29,          0.600,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:20,2013/08/04T19:54:20,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:20,2013/08/04T19:56:11,          6.063,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:22,2013/08/04T19:54:23,          8.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:23,2013/08/04T19:54:26,        258.333,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:24,2013/08/04T19:54:37,          0.615,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:27,2013/08/04T19:54:28,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:28,2013/08/04T19:54:29,         11.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:28,2013/08/04T19:54:38,          0.600,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:29,2013/08/04T19:54:38,          4.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:29,2013/08/04T19:54:43,          0.643,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:32,2013/08/04T19:54:33,          5.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:34,2013/08/04T19:54:34,          4.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:34,2013/08/04T19:55:59,          1.329,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:35,2013/08/04T19:54:35,          6.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:37,2013/08/04T19:54:38,         29.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:45,2013/08/04T19:54:49,         13.750,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:47,2013/08/04T19:54:47,          2.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:48,2013/08/04T19:54:49,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:49,2013/08/04T19:54:49,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:51,2013/08/04T19:54:52,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:52,2013/08/04T19:54:52,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:52,2013/08/04T19:55:02,          0.600,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:54,2013/08/04T19:54:54,          3.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:55,2013/08/04T19:54:55,          9.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:54:59,2013/08/04T19:56:00,          0.328,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:01,2013/08/04T19:55:02,         11.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:02,2013/08/04T19:55:02,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:05,2013/08/04T19:55:07,          5.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:06,2013/08/04T19:55:07,          8.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:06,2013/08/04T19:55:09,          2.667,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:07,2013/08/04T19:55:07,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:08,2013/08/04T19:55:09,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:09,2013/08/04T19:55:09,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:10,2013/08/04T19:55:12,          4.500,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:11,2013/08/04T19:55:40,         26.586,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:12,2013/08/04T19:55:13,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:12,2013/08/04T19:55:23,          0.545,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:13,2013/08/04T19:55:13,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:14,2013/08/04T19:55:15,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:14,2013/08/04T19:55:18,         37.250,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:15,2013/08/04T19:55:15,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:18,2013/08/04T19:55:59,          2.756,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:19,2013/08/04T19:55:20,          6.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:27,2013/08/04T19:55:27,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:29,2013/08/04T19:55:30,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:29,2013/08/04T19:55:39,          0.700,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:30,2013/08/04T19:55:30,         12.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:32,2013/08/04T19:55:33,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:32,2013/08/04T19:56:25,          0.415,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:33,2013/08/04T19:55:34,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:34,2013/08/04T19:55:34,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:35,2013/08/04T19:55:36,          9.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:36,2013/08/04T19:55:36,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:38,2013/08/04T19:55:42,        198.750,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:39,2013/08/04T19:55:40,         11.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:39,2013/08/04T19:55:50,          0.545,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:39,2013/08/04T19:56:25,          0.478,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:40,2013/08/04T19:55:44,          1.750,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:40,2013/08/04T19:55:45,        155.600,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:42,2013/08/04T19:55:42,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:42,2013/08/04T19:55:43,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:43,2013/08/04T19:55:43,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:47,2013/08/04T19:55:48,          6.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:47,2013/08/04T19:55:57,          0.600,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:51,2013/08/04T19:55:52,          5.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:52,2013/08/04T19:55:53,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:53,2013/08/04T19:55:53,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:53,2013/08/04T19:56:25,          0.688,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:55,2013/08/04T19:55:56,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:55,2013/08/04T19:56:05,          0.600,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:56,2013/08/04T19:55:56,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:56,2013/08/04T19:56:06,          0.600,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:57,2013/08/04T19:55:58,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/04T19:55:58,2013/08/04T19:55:58,          9.000,
