                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:14,2013/08/04T19:56:11,          4.812,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:15,2013/08/04T19:56:11,          4.397,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:16,2013/08/04T19:54:16,         10.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:17,2013/08/04T19:54:17,          8.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:18,2013/08/04T19:54:18,          2.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:18,2013/08/04T19:54:19,         10.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:18,2013/08/04T19:56:11,          6.062,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:19,2013/08/04T19:54:19,         12.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:19,2013/08/04T19:54:29,          0.600,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:19,2013/08/04T19:55:10,          0.392,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:20,2013/08/04T19:55:59,          0.232,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:20,2013/08/04T19:56:11,          6.063,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:21,2013/08/04T19:54:23,         47.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:23,2013/08/04T19:54:23,          4.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:23,2013/08/04T19:55:16,          0.396,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:23,2013/08/04T19:56:11,          5.481,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:25,2013/08/04T19:56:11,          5.226,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:26,2013/08/04T19:56:11,          6.219,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:28,2013/08/04T19:54:38,          0.600,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:29,2013/08/04T19:54:29,          4.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:29,2013/08/04T19:54:39,          0.700,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:31,2013/08/04T19:56:11,          5.200,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:32,2013/08/04T19:54:33,          9.500,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:35,2013/08/04T19:54:36,          9.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:36,2013/08/04T19:54:37,         10.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:37,2013/08/04T19:54:38,          9.500,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:37,2013/08/04T19:55:37,          0.350,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:40,2013/08/04T19:54:50,          0.600,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:42,2013/08/04T19:54:43,          9.500,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:43,2013/08/04T19:54:43,          1.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:43,2013/08/04T19:54:55,          0.583,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:47,2013/08/04T19:54:47,         12.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:48,2013/08/04T19:54:58,          0.500,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:48,2013/08/04T19:55:49,          0.311,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:51,2013/08/04T19:56:46,          6.087,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:52,2013/08/04T19:54:53,         11.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:52,2013/08/04T19:55:59,          1.672,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:54,2013/08/04T19:55:46,          0.173,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:55,2013/08/04T19:55:05,          0.600,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:55,2013/08/04T19:55:56,          0.344,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:54:57,2013/08/04T19:55:02,        139.800,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:55:02,2013/08/04T19:55:02,          1.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:55:02,2013/08/04T19:55:03,         10.000,
                              10.5.17.2,                              10.5.16.2,2013/08/04T19:55:02,2013/08/04T19:55:04,          5.000,
