                               10.5.4.2,                              10.5.15.2,2013/08/04T19:14:43,2013/08/04T19:14:44,         35.000,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:14:43,2013/08/04T19:14:46,         34.667,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:14:43,2013/08/04T19:14:52,          4.222,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:14:44,2013/08/04T19:14:45,         35.000,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:14:50,2013/08/04T19:14:50,          3.000,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:14:52,2013/08/04T19:15:17,          4.080,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:14:53,2013/08/04T19:15:23,          9.633,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:14:55,2013/08/04T19:14:58,          5.000,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:14:56,2013/08/04T19:14:58,          1.000,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:14:57,2013/08/04T19:15:23,          3.538,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:01,2013/08/04T19:15:01,          1.000,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:15,2013/08/04T19:15:15,         16.000,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:15,2013/08/04T19:15:45,          4.933,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:19,2013/08/04T19:15:45,          1.192,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:20,2013/08/04T19:15:50,          3.600,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:23,2013/08/04T19:15:51,          3.107,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:23,2013/08/04T19:15:52,          0.586,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:32,2013/08/04T19:15:51,          2.474,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:42,2013/08/04T19:15:45,         28.667,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:50,2013/08/04T19:15:51,        462.000,
                               10.5.4.2,                              10.5.15.2,2013/08/04T19:15:50,2013/08/04T19:16:20,          5.500,
