                               10.5.4.2,                              10.5.19.2,2013/08/04T19:14:43,2013/08/04T19:14:50,          8.143,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:14:43,2013/08/04T19:14:52,         10.444,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:14:44,2013/08/04T19:14:44,          1.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:14:50,2013/08/04T19:14:58,         51.500,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:14:50,2013/08/04T19:15:18,          0.286,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:14:50,2013/08/04T19:15:20,          2.867,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:14:51,2013/08/04T19:15:20,         16.069,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:14:52,2013/08/04T19:14:52,          2.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:14:56,2013/08/04T19:14:56,          1.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:05,2013/08/04T19:15:06,        333.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:16,2013/08/04T19:15:44,          0.821,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:22,2013/08/04T19:15:50,          3.500,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:23,2013/08/04T19:15:51,          3.286,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:31,2013/08/04T19:15:52,          9.143,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:32,2013/08/04T19:15:52,          7.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:32,2013/08/04T19:15:53,          4.905,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:33,2013/08/04T19:15:33,          4.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:43,2013/08/04T19:15:43,          5.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:45,2013/08/04T19:15:45,          4.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:50,2013/08/04T19:16:10,          0.350,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:50,2013/08/04T19:16:18,          7.929,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:50,2013/08/04T19:16:20,          7.067,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:15:56,2013/08/04T19:16:26,          7.600,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:16:05,2013/08/04T19:16:30,          4.720,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:16:18,2013/08/04T19:16:48,         10.667,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:16:21,2013/08/04T19:16:51,          2.600,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:16:22,2013/08/04T19:16:52,         12.633,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:16:23,2013/08/04T19:16:52,          6.586,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:16:51,2013/08/04T19:16:51,          1.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:16:51,2013/08/04T19:17:21,          3.367,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:16:57,2013/08/04T19:17:22,          4.560,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:04,2013/08/04T19:17:04,          8.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:19,2013/08/04T19:17:19,         12.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:21,2013/08/04T19:17:51,          2.433,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:24,2013/08/04T19:17:26,         44.500,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:25,2013/08/04T19:17:49,          1.417,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:25,2013/08/04T19:17:53,          1.714,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:28,2013/08/04T19:17:28,          4.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:28,2013/08/04T19:17:53,          4.400,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:29,2013/08/04T19:17:30,          7.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:33,2013/08/04T19:17:33,         17.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:34,2013/08/04T19:17:34,          5.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:41,2013/08/04T19:17:43,        246.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:43,2013/08/04T19:17:43,          1.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:50,2013/08/04T19:18:20,          6.600,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:51,2013/08/04T19:18:20,          6.931,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:53,2013/08/04T19:18:22,          4.897,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:58,2013/08/04T19:18:28,          8.267,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:17:59,2013/08/04T19:17:59,          6.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:10,2013/08/04T19:18:10,          5.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:13,2013/08/04T19:18:13,          1.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:21,2013/08/04T19:18:49,          7.179,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:23,2013/08/04T19:18:53,          2.500,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:24,2013/08/04T19:18:53,          3.241,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:33,2013/08/04T19:18:35,         32.500,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:41,2013/08/04T19:18:41,         13.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:48,2013/08/04T19:18:48,          2.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:48,2013/08/04T19:18:49,         51.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:54,2013/08/04T19:19:24,          3.033,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:55,2013/08/04T19:18:56,        569.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:18:56,2013/08/04T19:19:24,          6.786,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:19:08,2013/08/04T19:19:08,          1.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:19:21,2013/08/04T19:19:42,          5.857,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:19:24,2013/08/04T19:19:32,          4.500,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:19:29,2013/08/04T19:19:30,         27.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:19:29,2013/08/04T19:19:42,         11.077,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:19:30,2013/08/04T19:19:34,          9.750,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:19:31,2013/08/04T19:19:33,        114.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T19:19:35,2013/08/04T19:19:38,          8.667,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:51,2013/08/04T17:00:03,          0.500,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:52,2013/08/04T16:59:54,          6.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:52,2013/08/04T16:59:55,          1.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:52,2013/08/04T16:59:59,          0.571,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:52,2013/08/04T17:00:04,          0.417,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:52,2013/08/04T17:00:06,          0.357,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:52,2013/08/04T17:00:07,          0.533,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:53,2013/08/04T17:00:11,          0.167,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:55,2013/08/04T17:00:05,          0.300,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:55,2013/08/04T17:01:17,          0.049,
                               10.5.4.2,                              10.5.19.2,2013/08/04T16:59:58,2013/08/04T17:00:28,          8.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:02,2013/08/04T17:00:25,          0.174,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:03,2013/08/04T17:00:25,          0.136,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:05,2013/08/04T17:01:54,          0.028,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:06,2013/08/04T17:00:21,          0.333,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:07,2013/08/04T17:00:22,          0.400,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:07,2013/08/04T17:00:29,          0.182,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:08,2013/08/04T17:00:23,          0.333,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:11,2013/08/04T17:00:16,          0.800,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:17,2013/08/04T17:00:24,          0.714,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:17,2013/08/04T17:00:31,          0.286,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:22,2013/08/04T17:00:29,          0.571,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:23,2013/08/04T17:00:42,          0.158,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:23,2013/08/04T17:02:30,          0.031,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:26,2013/08/04T17:00:41,          0.367,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:28,2013/08/04T17:01:18,          0.080,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:31,2013/08/04T17:00:46,          0.400,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:35,2013/08/04T17:00:39,          0.750,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:38,2013/08/04T17:00:48,          0.300,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:41,2013/08/04T17:00:48,          0.571,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:45,2013/08/04T17:02:41,          0.026,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:46,2013/08/04T17:01:01,          0.533,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:48,2013/08/04T17:00:53,         67.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:49,2013/08/04T17:00:56,          0.571,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:50,2013/08/04T17:01:56,          0.091,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:52,2013/08/04T17:00:59,          0.714,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:54,2013/08/04T17:01:00,          0.833,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:58,2013/08/04T17:01:13,          0.467,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:00:59,2013/08/04T17:01:17,          0.167,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:00,2013/08/04T17:01:15,          0.333,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:02,2013/08/04T17:01:09,          0.714,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:03,2013/08/04T17:01:06,         70.667,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:03,2013/08/04T17:01:14,          0.545,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:06,2013/08/04T17:01:06,          1.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:06,2013/08/04T17:01:38,          0.344,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:07,2013/08/04T17:01:25,          0.167,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:09,2013/08/04T17:01:32,          0.174,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:12,2013/08/04T17:01:19,          0.857,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:13,2013/08/04T17:04:09,          0.068,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:16,2013/08/04T17:01:18,         23.500,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:18,2013/08/04T17:01:18,          1.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:19,2013/08/04T17:01:23,         53.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:19,2013/08/04T17:01:38,          0.158,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:20,2013/08/04T17:01:35,          0.533,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:23,2013/08/04T17:01:23,         47.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:23,2013/08/04T17:01:54,          0.185,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:24,2013/08/04T17:01:55,          0.145,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:27,2013/08/04T17:01:58,          0.097,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:41,2013/08/04T17:01:41,         51.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:41,2013/08/04T17:01:42,          4.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:43,2013/08/04T17:01:46,          9.333,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:48,2013/08/04T17:02:03,          0.400,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:49,2013/08/04T17:01:52,          6.667,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:50,2013/08/04T17:01:51,         46.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:50,2013/08/04T17:01:52,         23.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:50,2013/08/04T17:02:21,          0.194,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:51,2013/08/04T17:01:51,         13.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:52,2013/08/04T17:01:52,          1.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:52,2013/08/04T17:01:53,          4.000,
                               10.5.4.2,                              10.5.19.2,2013/08/04T17:01:52,2013/08/04T17:01:56,         12.250,
