                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:43,2013/08/04T19:14:55,          5.333,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:44,2013/08/04T19:14:44,          6.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:45,2013/08/04T19:15:15,         11.367,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:45,2013/08/04T19:19:24,          1.982,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:48,2013/08/04T19:15:17,         12.655,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:48,2013/08/04T19:15:18,          9.767,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:50,2013/08/04T19:14:50,         15.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:50,2013/08/04T19:15:20,          7.267,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:52,2013/08/04T19:14:52,          1.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:52,2013/08/04T19:15:17,          1.680,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:14:52,2013/08/04T19:15:52,          0.133,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:01,2013/08/04T19:15:01,          1.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:05,2013/08/04T19:15:23,          9.722,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:18,2013/08/04T19:15:45,          6.704,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:22,2013/08/04T19:15:51,          0.862,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:22,2013/08/04T19:15:52,          5.100,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:23,2013/08/04T19:15:51,          3.214,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:32,2013/08/04T19:15:32,          4.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:33,2013/08/04T19:15:56,          5.043,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:44,2013/08/04T19:15:52,          2.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:50,2013/08/04T19:16:16,          4.923,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:51,2013/08/04T19:15:51,          7.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:52,2013/08/04T19:16:22,          6.200,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:56,2013/08/04T19:16:22,          8.231,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:56,2013/08/04T19:16:25,          8.897,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:15:56,2013/08/04T19:16:26,          7.600,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:05,2013/08/04T19:16:05,          1.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:05,2013/08/04T19:16:23,          4.778,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:06,2013/08/04T19:16:08,        370.500,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:10,2013/08/04T19:16:12,          1.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:12,2013/08/04T19:16:12,          1.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:12,2013/08/04T19:16:14,        388.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:20,2013/08/04T19:16:25,         19.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:21,2013/08/04T19:16:51,          6.733,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:23,2013/08/04T19:16:52,         14.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:27,2013/08/04T19:16:30,         67.667,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:39,2013/08/04T19:16:50,         25.091,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:45,2013/08/04T19:16:49,         44.750,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:49,2013/08/04T19:16:51,          8.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:49,2013/08/04T19:17:19,          7.033,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:51,2013/08/04T19:17:21,          3.767,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:16:57,2013/08/04T19:17:19,          2.955,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:20,2013/08/04T19:17:50,          6.533,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:24,2013/08/04T19:17:53,          5.017,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:25,2013/08/04T19:17:28,          7.667,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:25,2013/08/04T19:17:53,          4.018,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:28,2013/08/04T19:17:33,          0.200,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:28,2013/08/04T19:17:43,          0.200,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:33,2013/08/04T19:17:33,          3.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:33,2013/08/04T19:17:35,         29.500,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:43,2013/08/04T19:17:44,          5.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:44,2013/08/04T19:17:44,          3.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:46,2013/08/04T19:17:46,          2.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:49,2013/08/04T19:17:49,         12.000,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:51,2013/08/04T19:18:21,          4.889,
                               10.5.4.2,                              10.5.20.2,2013/08/04T19:17:58,2013/08/04T19:18:28,          0.167,
