                               10.5.4.2,                               10.5.7.2,2013/08/04T19:14:43,2013/08/04T19:14:48,          7.600,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:14:43,2013/08/04T19:14:52,         12.222,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:14:43,2013/08/04T19:14:55,         13.917,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:14:44,2013/08/04T19:14:49,          5.800,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:14:44,2013/08/04T19:14:53,          5.889,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:14:45,2013/08/04T19:14:45,          1.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:14:45,2013/08/04T19:14:49,         22.750,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:14:53,2013/08/04T19:15:00,          3.429,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:14:56,2013/08/04T19:15:23,         10.037,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:14:58,2013/08/04T19:15:23,         11.360,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:01,2013/08/04T19:15:01,          1.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:02,2013/08/04T19:15:04,        201.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:05,2013/08/04T19:15:08,         42.667,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:08,2013/08/04T19:15:08,          6.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:14,2013/08/04T19:15:17,         62.667,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:16,2013/08/04T19:15:45,          2.103,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:20,2013/08/04T19:15:50,          1.667,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:22,2013/08/04T19:15:22,          1.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:22,2013/08/04T19:15:51,          0.379,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:50,2013/08/04T19:15:50,          1.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:51,2013/08/04T19:15:51,          1.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:51,2013/08/04T19:16:19,          4.679,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:51,2013/08/04T19:16:21,          6.833,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:52,2013/08/04T19:16:15,          0.522,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:56,2013/08/04T19:15:56,          9.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:15:56,2013/08/04T19:16:23,          1.037,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:06,2013/08/04T19:16:06,          7.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:09,2013/08/04T19:16:39,          3.867,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:13,2013/08/04T19:16:16,          5.667,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:17,2013/08/04T19:16:48,         13.774,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:21,2013/08/04T19:16:51,         13.167,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:24,2013/08/04T19:16:48,         10.417,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:24,2013/08/04T19:16:52,          5.893,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:45,2013/08/04T19:16:45,          5.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:47,2013/08/04T19:16:47,          8.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:48,2013/08/04T19:17:18,          8.933,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:57,2013/08/04T19:17:11,          2.571,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:57,2013/08/04T19:17:20,          8.435,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:57,2013/08/04T19:17:21,          6.542,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:57,2013/08/04T19:17:22,          5.580,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:16:59,2013/08/04T19:16:59,         13.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:04,2013/08/04T19:17:04,          4.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:08,2013/08/04T19:17:22,          5.286,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:09,2013/08/04T19:17:09,          1.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:18,2013/08/04T19:17:20,          6.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:18,2013/08/04T19:17:38,          0.400,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:18,2013/08/04T19:17:44,         12.231,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:19,2013/08/04T19:17:49,          5.167,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:20,2013/08/04T19:17:22,        383.500,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:21,2013/08/04T19:17:30,          3.222,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:24,2013/08/04T19:17:26,        229.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:25,2013/08/04T19:17:44,          3.053,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:25,2013/08/04T19:17:51,          1.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:25,2013/08/04T19:17:54,          5.103,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:30,2013/08/04T19:17:59,          4.207,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:31,2013/08/04T19:17:31,          2.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:33,2013/08/04T19:17:33,          7.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:34,2013/08/04T19:17:34,          1.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:43,2013/08/04T19:17:43,          5.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:53,2013/08/04T19:18:23,          8.600,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:17:58,2013/08/04T19:18:24,          9.154,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:03,2013/08/04T19:18:47,          0.295,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:19,2013/08/04T19:18:19,          1.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:21,2013/08/04T19:18:42,          1.714,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:21,2013/08/04T19:18:49,          2.429,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:22,2013/08/04T19:18:52,          4.800,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:23,2013/08/04T19:18:24,         88.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:25,2013/08/04T19:18:55,          3.433,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:26,2013/08/04T19:18:53,          3.148,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:28,2013/08/04T19:18:53,          2.200,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:32,2013/08/04T19:18:32,         12.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:52,2013/08/04T19:19:14,          7.273,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:52,2013/08/04T19:19:21,          6.552,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:18:58,2013/08/04T19:19:24,          5.615,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:19:13,2013/08/04T19:19:13,          5.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:19:14,2013/08/04T19:19:14,         11.000,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:19:23,2013/08/04T19:19:42,          2.895,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:19:29,2013/08/04T19:19:40,          3.545,
                               10.5.4.2,                               10.5.7.2,2013/08/04T19:19:29,2013/08/04T19:19:42,         16.615,
