                               10.5.4.2,                              10.5.10.2,2013/08/04T19:14:43,2013/08/04T19:14:44,          4.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:14:43,2013/08/04T19:14:52,         10.667,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:14:44,2013/08/04T19:14:48,          9.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:14:48,2013/08/04T19:14:50,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:14:50,2013/08/04T19:14:50,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:14:50,2013/08/04T19:15:19,         10.448,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:14:52,2013/08/04T19:14:52,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:14:52,2013/08/04T19:15:22,          7.900,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:02,2013/08/04T19:15:04,         47.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:20,2013/08/04T19:15:52,          3.656,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:22,2013/08/04T19:15:23,        317.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:22,2013/08/04T19:15:52,          5.467,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:23,2013/08/04T19:15:51,          0.250,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:23,2013/08/04T19:15:52,          2.793,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:32,2013/08/04T19:15:32,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:32,2013/08/04T19:15:52,          8.700,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:33,2013/08/04T19:15:59,          1.346,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:45,2013/08/04T19:16:14,          5.931,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:50,2013/08/04T19:16:20,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:52,2013/08/04T19:16:22,          0.733,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:56,2013/08/04T19:16:21,          3.120,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:15:56,2013/08/04T19:16:22,          7.077,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:09,2013/08/04T19:16:39,          0.300,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:20,2013/08/04T19:16:52,          8.594,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:21,2013/08/04T19:16:51,          7.122,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:22,2013/08/04T19:16:26,         44.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:23,2013/08/04T19:16:52,          8.397,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:24,2013/08/04T19:16:52,         13.786,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:32,2013/08/04T19:16:32,         12.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:32,2013/08/04T19:16:33,         28.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:33,2013/08/04T19:16:33,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:47,2013/08/04T19:17:11,          7.333,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:50,2013/08/04T19:16:50,         13.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:51,2013/08/04T19:17:21,          3.767,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:51,2013/08/04T19:17:22,          7.742,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:16:57,2013/08/04T19:17:10,         11.769,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:17,2013/08/04T19:17:17,         48.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:18,2013/08/04T19:17:20,          2.500,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:20,2013/08/04T19:17:51,          6.226,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:25,2013/08/04T19:17:52,          3.333,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:25,2013/08/04T19:17:53,          6.321,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:51,2013/08/04T19:18:21,          4.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:52,2013/08/04T19:17:52,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:58,2013/08/04T19:17:58,         12.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:58,2013/08/04T19:18:28,          1.567,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:58,2013/08/04T19:18:31,          0.394,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:17:59,2013/08/04T19:17:59,          2.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:05,2013/08/04T19:18:05,          6.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:18,2013/08/04T19:18:18,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:20,2013/08/04T19:18:49,          3.138,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:22,2013/08/04T19:18:22,          3.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:25,2013/08/04T19:18:55,          1.233,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:25,2013/08/04T19:18:56,          6.468,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:26,2013/08/04T19:18:54,          3.286,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:28,2013/08/04T19:18:40,          1.250,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:31,2013/08/04T19:19:00,          6.069,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:51,2013/08/04T19:18:52,         20.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:52,2013/08/04T19:19:20,          6.393,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:53,2013/08/04T19:19:15,          4.318,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:53,2013/08/04T19:19:23,          2.100,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:54,2013/08/04T19:18:54,         13.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:54,2013/08/04T19:19:21,          3.852,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:56,2013/08/04T19:18:56,          2.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:56,2013/08/04T19:19:25,          9.241,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:58,2013/08/04T19:18:58,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:58,2013/08/04T19:19:15,          5.706,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:58,2013/08/04T19:19:25,          8.148,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:18:59,2013/08/04T19:19:24,          5.280,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:19:03,2013/08/04T19:19:03,          3.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:19:21,2013/08/04T19:19:42,          3.143,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:19:23,2013/08/04T19:19:42,          5.342,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:19:24,2013/08/04T19:19:38,          6.786,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:19:29,2013/08/04T19:19:42,         13.615,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:19:31,2013/08/04T19:19:32,         13.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:19:32,2013/08/04T19:19:32,          2.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T19:19:39,2013/08/04T19:19:39,         12.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T16:59:51,2013/08/04T17:00:06,          0.533,
                               10.5.4.2,                              10.5.10.2,2013/08/04T16:59:52,2013/08/04T16:59:59,          0.571,
                               10.5.4.2,                              10.5.10.2,2013/08/04T16:59:52,2013/08/04T17:00:04,          0.500,
                               10.5.4.2,                              10.5.10.2,2013/08/04T16:59:52,2013/08/04T17:00:06,          0.357,
                               10.5.4.2,                              10.5.10.2,2013/08/04T16:59:52,2013/08/04T17:00:12,          0.350,
                               10.5.4.2,                              10.5.10.2,2013/08/04T16:59:52,2013/08/04T17:00:48,          0.107,
                               10.5.4.2,                              10.5.10.2,2013/08/04T16:59:55,2013/08/04T17:00:05,          0.300,
                               10.5.4.2,                              10.5.10.2,2013/08/04T16:59:55,2013/08/04T17:00:07,          0.250,
                               10.5.4.2,                              10.5.10.2,2013/08/04T16:59:56,2013/08/04T17:02:45,          0.024,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:02,2013/08/04T17:00:17,          0.467,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:03,2013/08/04T17:00:10,          0.857,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:03,2013/08/04T17:01:00,          0.035,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:11,2013/08/04T17:00:16,          0.800,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:11,2013/08/04T17:00:23,          0.417,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:11,2013/08/04T17:00:45,          0.088,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:11,2013/08/04T17:02:34,          0.021,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:12,2013/08/04T17:00:23,          0.636,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:14,2013/08/04T17:02:36,          0.035,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:15,2013/08/04T17:00:22,          0.714,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:22,2013/08/04T17:00:29,          0.857,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:27,2013/08/04T17:00:49,          0.182,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:30,2013/08/04T17:00:30,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:30,2013/08/04T17:00:45,          0.200,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:31,2013/08/04T17:02:31,          0.025,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:34,2013/08/04T17:00:34,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:34,2013/08/04T17:00:49,          0.500,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:34,2013/08/04T17:01:55,          0.074,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:37,2013/08/04T17:01:22,          0.200,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:38,2013/08/04T17:00:49,          0.545,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:47,2013/08/04T17:00:47,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:48,2013/08/04T17:00:55,          0.714,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:48,2013/08/04T17:03:31,          0.067,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:50,2013/08/04T17:01:02,          0.500,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:54,2013/08/04T17:01:09,          0.267,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:54,2013/08/04T17:01:34,          0.075,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:00:54,2013/08/04T17:02:27,          0.032,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:00,2013/08/04T17:01:15,          0.200,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:03,2013/08/04T17:01:10,          0.714,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:05,2013/08/04T17:01:20,          0.400,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:06,2013/08/04T17:01:21,          0.533,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:09,2013/08/04T17:01:24,          0.333,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:13,2013/08/04T17:01:27,          0.286,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:14,2013/08/04T17:01:25,          0.636,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:16,2013/08/04T17:01:22,          0.833,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:17,2013/08/04T17:01:17,         47.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:18,2013/08/04T17:01:19,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:18,2013/08/04T17:01:30,          0.583,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:19,2013/08/04T17:01:34,          0.200,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:20,2013/08/04T17:01:20,         15.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:20,2013/08/04T17:01:38,          0.167,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:21,2013/08/04T17:01:24,         16.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:21,2013/08/04T17:01:39,          0.167,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:23,2013/08/04T17:01:54,          0.161,
                               10.5.4.2,                              10.5.10.2,2013/08/04T17:01:24,2013/08/04T17:01:24,          1.000,
