                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:43,2013/08/04T19:14:45,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:43,2013/08/04T19:14:49,          7.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:44,2013/08/04T19:14:45,         28.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:44,2013/08/04T19:14:50,          5.667,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:48,2013/08/04T19:14:48,          2.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:49,2013/08/04T19:14:49,          2.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:50,2013/08/04T19:15:20,          7.717,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:51,2013/08/04T19:15:20,         10.603,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:53,2013/08/04T19:15:22,         16.862,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:55,2013/08/04T19:15:23,         12.018,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:14:58,2013/08/04T19:15:22,          5.167,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:15:03,2013/08/04T19:15:03,         13.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:15:16,2013/08/04T19:15:16,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:15:19,2013/08/04T19:15:45,          6.577,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:15:22,2013/08/04T19:15:43,          3.381,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:15:22,2013/08/04T19:15:52,          3.833,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:15:32,2013/08/04T19:15:34,         50.500,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:15:32,2013/08/04T19:15:53,          7.381,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:15:41,2013/08/04T19:15:56,          7.600,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:15:50,2013/08/04T19:16:22,          3.844,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:15:51,2013/08/04T19:16:21,          2.967,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:04,2013/08/04T19:16:06,        243.500,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:05,2013/08/04T19:16:08,         67.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:05,2013/08/04T19:16:18,          3.923,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:09,2013/08/04T19:16:09,          7.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:21,2013/08/04T19:16:51,          5.617,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:32,2013/08/04T19:16:32,          5.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:32,2013/08/04T19:16:49,         36.588,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:36,2013/08/04T19:16:58,          2.091,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:46,2013/08/04T19:16:46,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:51,2013/08/04T19:17:21,          5.900,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:52,2013/08/04T19:17:22,          6.200,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:16:57,2013/08/04T19:17:22,          4.827,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:04,2013/08/04T19:17:06,          3.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:10,2013/08/04T19:17:11,        700.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:17,2013/08/04T19:17:17,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:19,2013/08/04T19:17:47,          2.179,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:21,2013/08/04T19:17:52,          6.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:25,2013/08/04T19:17:25,         12.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:25,2013/08/04T19:17:51,          8.538,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:25,2013/08/04T19:17:52,          4.667,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:25,2013/08/04T19:17:53,          3.536,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:26,2013/08/04T19:17:26,          2.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:37,2013/08/04T19:17:37,         27.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:41,2013/08/04T19:17:41,          3.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:50,2013/08/04T19:18:20,          3.167,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:52,2013/08/04T19:18:21,          4.690,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:53,2013/08/04T19:18:23,          1.300,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:17:58,2013/08/04T19:18:01,          0.667,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:18:05,2013/08/04T19:18:31,          6.462,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:18:24,2013/08/04T19:18:54,          2.300,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:18:28,2013/08/04T19:18:56,          5.875,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:18:57,2013/08/04T19:19:14,          4.412,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:18:57,2013/08/04T19:19:24,          4.148,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:18:58,2013/08/04T19:19:23,          4.080,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:19:02,2013/08/04T19:19:02,          2.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:19:08,2013/08/04T19:19:08,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:19:10,2013/08/04T19:19:14,          1.750,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:19:20,2013/08/04T19:19:32,          5.833,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:19:20,2013/08/04T19:19:39,          3.684,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:19:21,2013/08/04T19:19:42,         13.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:19:29,2013/08/04T19:19:41,         11.417,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:19:29,2013/08/04T19:19:42,          8.077,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:19:38,2013/08/04T19:19:40,        332.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T19:19:40,2013/08/04T19:19:40,          6.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T16:59:52,2013/08/04T16:59:55,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T16:59:52,2013/08/04T17:00:06,          0.357,
                               10.5.4.2,                               10.5.9.2,2013/08/04T16:59:52,2013/08/04T17:00:07,          0.444,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:01,2013/08/04T17:00:01,          5.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:04,2013/08/04T17:01:03,          0.085,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:05,2013/08/04T17:01:05,          0.183,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:06,2013/08/04T17:00:21,          0.422,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:10,2013/08/04T17:00:12,          3.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:10,2013/08/04T17:00:44,          0.147,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:11,2013/08/04T17:00:18,          0.857,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:13,2013/08/04T17:02:39,          0.021,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:14,2013/08/04T17:00:14,          5.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:15,2013/08/04T17:00:22,          0.714,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:15,2013/08/04T17:00:26,          0.273,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:17,2013/08/04T17:00:31,          0.286,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:18,2013/08/04T17:00:29,          0.636,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:23,2013/08/04T17:00:38,          0.333,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:26,2013/08/04T17:00:41,          0.533,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:27,2013/08/04T17:00:49,          0.182,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:31,2013/08/04T17:00:32,          6.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:31,2013/08/04T17:00:46,          0.333,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:32,2013/08/04T17:00:32,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:32,2013/08/04T17:00:47,          0.400,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:34,2013/08/04T17:00:48,          0.500,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:34,2013/08/04T17:02:39,          0.032,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:35,2013/08/04T17:00:35,          6.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:36,2013/08/04T17:00:36,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:36,2013/08/04T17:00:43,          0.571,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:42,2013/08/04T17:00:57,          0.333,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:43,2013/08/04T17:00:58,          0.533,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:43,2013/08/04T17:01:01,          0.167,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:45,2013/08/04T17:01:00,          0.200,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:46,2013/08/04T17:00:48,          7.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:47,2013/08/04T17:03:31,          0.055,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:48,2013/08/04T17:00:50,          8.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:50,2013/08/04T17:01:01,          0.455,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:51,2013/08/04T17:00:58,          0.571,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:53,2013/08/04T17:01:00,          0.571,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:55,2013/08/04T17:01:09,          0.286,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:57,2013/08/04T17:01:04,          0.714,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:58,2013/08/04T17:01:13,          0.200,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:00:59,2013/08/04T17:01:14,          0.467,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:00,2013/08/04T17:01:00,          7.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:00,2013/08/04T17:01:23,          0.174,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:03,2013/08/04T17:01:13,          0.300,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:04,2013/08/04T17:01:19,          0.500,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:06,2013/08/04T17:02:12,          0.045,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:06,2013/08/04T17:02:44,          0.041,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:07,2013/08/04T17:01:25,          0.167,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:10,2013/08/04T17:01:15,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:11,2013/08/04T17:01:14,         70.667,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:11,2013/08/04T17:01:58,          0.234,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:13,2013/08/04T17:01:27,          0.286,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:13,2013/08/04T17:03:00,          0.056,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:16,2013/08/04T17:01:27,          0.545,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:18,2013/08/04T17:01:19,         13.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:21,2013/08/04T17:01:22,         49.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:22,2013/08/04T17:01:22,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:22,2013/08/04T17:01:53,          0.161,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:23,2013/08/04T17:01:54,          0.161,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:24,2013/08/04T17:01:55,          0.194,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:25,2013/08/04T17:01:56,          0.129,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:26,2013/08/04T17:01:26,          5.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:26,2013/08/04T17:01:57,          0.161,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:27,2013/08/04T17:01:28,         46.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:27,2013/08/04T17:01:58,          0.097,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:28,2013/08/04T17:01:28,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:30,2013/08/04T17:01:36,          8.333,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:31,2013/08/04T17:01:32,         47.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:32,2013/08/04T17:01:32,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:36,2013/08/04T17:01:36,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:37,2013/08/04T17:01:38,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:38,2013/08/04T17:01:39,         49.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:39,2013/08/04T17:01:39,         48.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:39,2013/08/04T17:01:40,         48.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:40,2013/08/04T17:01:41,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:41,2013/08/04T17:01:42,          5.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:42,2013/08/04T17:01:54,         64.333,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:43,2013/08/04T17:01:46,         16.333,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:44,2013/08/04T17:01:44,          8.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:44,2013/08/04T17:01:45,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:44,2013/08/04T17:01:51,          0.429,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:44,2013/08/04T17:01:53,          0.667,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:45,2013/08/04T17:01:45,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:45,2013/08/04T17:02:38,          0.057,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:46,2013/08/04T17:01:46,          1.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:46,2013/08/04T17:02:01,          0.267,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:47,2013/08/04T17:02:38,          0.078,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:49,2013/08/04T17:01:49,          5.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:49,2013/08/04T17:01:50,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:49,2013/08/04T17:02:20,          0.145,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:50,2013/08/04T17:01:51,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:52,2013/08/04T17:02:20,          0.107,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:53,2013/08/04T17:01:54,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T17:01:53,2013/08/04T17:01:55,         23.000,
