                               10.5.4.2,                               10.5.5.2,2013/08/04T19:14:43,2013/08/04T19:14:45,          7.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:14:43,2013/08/04T19:14:52,          9.889,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:14:44,2013/08/04T19:14:44,          1.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:14:50,2013/08/04T19:15:20,         10.700,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:14:52,2013/08/04T19:15:20,          7.214,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:14:52,2013/08/04T19:15:22,         10.233,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:14:53,2013/08/04T19:15:23,          6.433,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:14:55,2013/08/04T19:15:23,          1.286,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:14:57,2013/08/04T19:14:59,         86.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:20,2013/08/04T19:15:50,          2.500,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:22,2013/08/04T19:15:50,          2.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:22,2013/08/04T19:15:52,          6.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:32,2013/08/04T19:15:32,          1.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:32,2013/08/04T19:15:52,          5.050,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:41,2013/08/04T19:15:41,        100.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:44,2013/08/04T19:15:45,         59.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:50,2013/08/04T19:16:19,          8.448,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:50,2013/08/04T19:16:20,          6.167,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:50,2013/08/04T19:16:21,          5.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:52,2013/08/04T19:16:22,          5.933,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:15:59,2013/08/04T19:15:59,         42.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:16:14,2013/08/04T19:16:16,         56.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:16:17,2013/08/04T19:16:47,          8.233,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:16:21,2013/08/04T19:16:21,          6.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:16:21,2013/08/04T19:16:51,         14.167,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:16:24,2013/08/04T19:16:51,         12.222,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:16:24,2013/08/04T19:16:52,         15.571,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:16:26,2013/08/04T19:16:26,         11.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:16:26,2013/08/04T19:16:28,        357.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T19:16:29,2013/08/04T19:16:59,          0.167,
