                               10.5.4.2,                               10.5.8.2,2013/08/04T19:14:36,2013/08/04T19:14:51,          6.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:14:43,2013/08/04T19:16:20,        112.010,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:14:49,2013/08/04T19:15:19,         13.767,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:14:52,2013/08/04T19:15:22,         13.867,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:14:55,2013/08/04T19:15:23,         10.821,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:14:57,2013/08/04T19:15:02,          1.200,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:14:57,2013/08/04T19:15:23,         16.423,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:02,2013/08/04T19:15:02,          4.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:19,2013/08/04T19:15:45,          3.462,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:22,2013/08/04T19:15:50,          0.893,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:22,2013/08/04T19:15:51,          1.897,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:22,2013/08/04T19:15:52,          2.767,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:32,2013/08/04T19:15:34,         49.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:40,2013/08/04T19:15:41,         32.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:41,2013/08/04T19:15:41,          1.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:44,2013/08/04T19:15:45,        520.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:50,2013/08/04T19:16:16,          5.385,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:50,2013/08/04T19:16:20,          2.367,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:51,2013/08/04T19:16:21,          3.233,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:56,2013/08/04T19:16:21,          4.520,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:56,2013/08/04T19:16:24,          5.750,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:15:58,2013/08/04T19:16:22,          4.500,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:16:07,2013/08/04T19:16:09,        350.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:16:09,2013/08/04T19:16:39,          0.100,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:16:12,2013/08/04T19:16:12,          5.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:16:12,2013/08/04T19:16:13,          6.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:16:16,2013/08/04T19:16:46,         12.367,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:16:21,2013/08/04T19:16:51,          3.067,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:16:26,2013/08/04T19:16:52,         17.808,
                               10.5.4.2,                               10.5.8.2,2013/08/04T19:16:28,2013/08/04T19:16:58,          8.633,
