                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         49.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:14,2013/08/04T18:09:15,          5.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:14,2013/08/04T18:10:41,          0.057,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         42.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:16,2013/08/04T18:09:16,          5.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          3.042,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:16,2013/08/04T18:09:46,          0.067,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:16,2013/08/04T18:09:55,          0.026,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         23.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:18,2013/08/04T18:09:21,         43.667,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:18,2013/08/04T18:09:28,          0.300,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         10.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:19,2013/08/04T18:09:20,          5.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:19,2013/08/04T18:10:48,          0.056,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:19,2013/08/04T18:11:06,          0.037,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:20,2013/08/04T18:09:20,         13.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:21,2013/08/04T18:09:21,          9.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         19.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:22,2013/08/04T18:09:32,          0.200,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         14.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:23,2013/08/04T18:09:24,          4.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:24,2013/08/04T18:09:24,         17.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:24,2013/08/04T18:10:21,          0.053,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:25,2013/08/04T18:09:25,         42.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:25,2013/08/04T18:09:35,          0.300,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:26,2013/08/04T18:09:26,         26.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:26,2013/08/04T18:09:27,          3.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:26,2013/08/04T18:11:15,          0.046,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:27,2013/08/04T18:09:27,         38.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:28,2013/08/04T18:09:28,         22.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:28,2013/08/04T18:09:31,         53.667,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:29,2013/08/04T18:09:29,         39.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:29,2013/08/04T18:11:18,          0.046,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:30,2013/08/04T18:09:30,         37.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:30,2013/08/04T18:09:31,          5.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:31,2013/08/04T18:09:31,         28.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:32,2013/08/04T18:09:32,         27.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:33,2013/08/04T18:09:33,         51.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:33,2013/08/04T18:09:43,          0.300,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:33,2013/08/04T18:11:22,          0.046,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:34,2013/08/04T18:09:34,         86.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:34,2013/08/04T18:09:35,          5.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:34,2013/08/04T18:11:23,          0.046,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:35,2013/08/04T18:09:35,         73.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:35,2013/08/04T18:09:53,          0.222,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:36,2013/08/04T18:09:36,         75.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:36,2013/08/04T18:09:37,          7.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:36,2013/08/04T18:11:26,          0.045,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:37,2013/08/04T18:09:37,         47.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:37,2013/08/04T18:10:46,          0.058,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:37,2013/08/04T18:11:26,          0.046,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:38,2013/08/04T18:09:38,         47.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:38,2013/08/04T18:09:39,          4.000,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:38,2013/08/04T18:09:41,         70.667,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:38,2013/08/04T18:09:48,          0.300,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:38,2013/08/04T18:09:50,          6.500,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:38,2013/08/04T18:09:53,          3.600,
                              10.5.11.2,                              10.5.15.2,2013/08/04T18:09:38,2013/08/04T18:09:55,          1.059,
