                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         40.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:14,2013/08/04T18:09:24,          0.300,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:14,2013/08/04T18:09:54,          0.050,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:14,2013/08/04T18:11:01,          0.047,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         17.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:16,2013/08/04T18:09:16,          9.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          4.889,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:16,2013/08/04T18:09:46,          0.100,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         39.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:18,2013/08/04T18:09:28,          0.300,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         33.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:19,2013/08/04T18:11:06,          0.037,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:20,2013/08/04T18:09:20,         14.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:20,2013/08/04T18:09:31,          4.727,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:20,2013/08/04T18:10:26,          0.061,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:20,2013/08/04T18:11:07,          0.037,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:21,2013/08/04T18:09:21,         24.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:21,2013/08/04T18:09:31,          0.200,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         24.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:22,2013/08/04T18:09:23,          5.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:22,2013/08/04T18:11:10,          0.046,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         29.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:23,2013/08/04T18:09:24,          2.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:23,2013/08/04T18:10:16,          0.038,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:24,2013/08/04T18:09:24,         18.000,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:24,2013/08/04T18:09:34,          0.300,
                              10.5.11.2,                              10.5.19.2,2013/08/04T18:09:25,2013/08/04T18:09:25,         24.000,
