                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         50.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:14,2013/08/04T18:09:15,          5.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         18.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:16,2013/08/04T18:09:16,         15.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          3.500,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:16,2013/08/04T18:09:55,          0.051,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         47.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:18,2013/08/04T18:11:06,          0.056,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         15.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:19,2013/08/04T18:09:56,          0.054,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:19,2013/08/04T18:10:39,          0.050,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:20,2013/08/04T18:09:20,         17.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:20,2013/08/04T18:09:28,         11.375,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:21,2013/08/04T18:09:21,         16.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:21,2013/08/04T18:09:30,          4.889,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:21,2013/08/04T18:09:31,          0.200,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:21,2013/08/04T18:09:51,          0.067,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         15.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         23.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:23,2013/08/04T18:09:53,          0.083,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:23,2013/08/04T18:11:10,          0.047,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:23,2013/08/04T18:11:11,          0.056,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:24,2013/08/04T18:09:24,         20.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:24,2013/08/04T18:11:11,          0.047,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:24,2013/08/04T18:11:13,          0.064,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:25,2013/08/04T18:09:25,         41.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:25,2013/08/04T18:11:14,          0.046,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:26,2013/08/04T18:09:26,         11.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:26,2013/08/04T18:09:27,          4.500,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:27,2013/08/04T18:09:27,         25.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:28,2013/08/04T18:09:28,         27.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:29,2013/08/04T18:09:29,         32.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:30,2013/08/04T18:09:30,         20.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:31,2013/08/04T18:09:31,         50.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:32,2013/08/04T18:09:32,         42.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:32,2013/08/04T18:11:21,          0.046,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:33,2013/08/04T18:09:33,         57.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:34,2013/08/04T18:09:34,         57.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:34,2013/08/04T18:09:44,          0.300,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:34,2013/08/04T18:09:53,          0.211,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:34,2013/08/04T18:11:23,          0.046,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:35,2013/08/04T18:09:35,         86.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:35,2013/08/04T18:09:45,          0.300,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:35,2013/08/04T18:11:24,          0.046,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:36,2013/08/04T18:09:36,         50.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:36,2013/08/04T18:09:37,          5.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:37,2013/08/04T18:09:37,         66.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:37,2013/08/04T18:09:38,          5.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:37,2013/08/04T18:11:27,          0.045,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:38,2013/08/04T18:09:38,         29.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:38,2013/08/04T18:09:39,          5.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:38,2013/08/04T18:09:40,          5.500,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:38,2013/08/04T18:09:49,          0.273,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:38,2013/08/04T18:09:50,          8.200,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:38,2013/08/04T18:09:51,          5.692,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:38,2013/08/04T18:09:53,          0.367,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:38,2013/08/04T18:10:00,          1.091,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:39,2013/08/04T18:09:39,         25.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:39,2013/08/04T18:11:28,          0.046,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:40,2013/08/04T18:09:40,         16.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:40,2013/08/04T18:09:41,         72.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:41,2013/08/04T18:09:41,         43.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:41,2013/08/04T18:09:42,          5.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:41,2013/08/04T18:10:42,          0.049,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:41,2013/08/04T18:11:29,          0.046,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:41,2013/08/04T18:11:30,          0.046,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:42,2013/08/04T18:09:42,         66.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:42,2013/08/04T18:09:43,          5.000,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:42,2013/08/04T18:11:30,          0.046,
                              10.5.11.2,                              10.5.20.2,2013/08/04T18:09:43,2013/08/04T18:09:43,         45.000,
