                              10.5.11.2,                               10.5.7.2,2013/08/04T21:05:38,2013/08/04T21:09:39,          0.012,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         61.000,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:14,2013/08/04T18:09:15,          5.000,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:14,2013/08/04T18:09:44,          0.133,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:14,2013/08/04T18:10:43,          0.056,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         37.000,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:15,2013/08/04T18:09:16,          3.000,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:15,2013/08/04T18:11:01,          0.057,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:16,2013/08/04T18:09:16,         13.000,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          4.500,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:16,2013/08/04T18:09:30,          0.500,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         25.000,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:18,2013/08/04T18:09:28,          3.700,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:18,2013/08/04T18:09:53,          0.057,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:18,2013/08/04T18:10:22,          0.063,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         13.000,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:20,2013/08/04T18:09:20,         12.000,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:20,2013/08/04T18:11:06,          0.047,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:21,2013/08/04T18:09:21,         19.000,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:21,2013/08/04T18:09:51,          0.100,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:21,2013/08/04T18:10:58,          0.041,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         12.000,
                              10.5.11.2,                               10.5.7.2,2013/08/04T18:09:22,2013/08/04T18:10:06,          0.045,
