                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         30.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:14,2013/08/04T18:09:24,          0.200,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         38.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:15,2013/08/04T18:09:16,          6.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:15,2013/08/04T18:11:01,          0.047,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:16,2013/08/04T18:09:16,         15.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          5.333,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:16,2013/08/04T18:09:40,          0.188,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:16,2013/08/04T18:09:46,          0.133,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:16,2013/08/04T18:10:43,          0.034,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         14.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:18,2013/08/04T18:09:24,          3.833,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:18,2013/08/04T18:10:01,          0.070,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         29.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:19,2013/08/04T18:10:21,          0.048,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:20,2013/08/04T18:09:20,         22.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:20,2013/08/04T18:11:07,          0.047,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:21,2013/08/04T18:09:21,          9.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:21,2013/08/04T18:09:31,          0.300,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         39.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:22,2013/08/04T18:10:47,          0.035,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:22,2013/08/04T18:11:09,          0.037,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         24.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:24,2013/08/04T18:09:24,          7.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:24,2013/08/04T18:09:25,          4.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:24,2013/08/04T18:11:13,          0.064,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:25,2013/08/04T18:09:25,         16.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:25,2013/08/04T18:09:26,          5.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:25,2013/08/04T18:09:53,          0.107,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:26,2013/08/04T18:09:26,         12.000,
                              10.5.11.2,                              10.5.14.2,2013/08/04T18:09:27,2013/08/04T18:09:27,         16.000,
