                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         31.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:14,2013/08/04T18:09:15,          5.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:14,2013/08/04T18:09:44,          0.133,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:15,2013/08/04T18:09:15,          4.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:15,2013/08/04T18:09:16,          3.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:15,2013/08/04T18:11:01,          0.047,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:16,2013/08/04T18:09:16,          5.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          4.778,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:16,2013/08/04T18:09:35,          0.105,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:16,2013/08/04T18:09:46,          0.133,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:16,2013/08/04T18:09:55,          0.026,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:16,2013/08/04T18:10:16,          0.083,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         15.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:19,2013/08/04T18:09:19,          9.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:20,2013/08/04T18:09:20,          9.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:20,2013/08/04T18:09:30,          0.100,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:21,2013/08/04T18:09:21,         14.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:21,2013/08/04T18:11:07,          0.038,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         23.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:22,2013/08/04T18:11:09,          0.047,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         20.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:23,2013/08/04T18:09:24,          2.000,
                              10.5.11.2,                               10.5.2.2,2013/08/04T18:09:23,2013/08/04T18:11:10,          0.056,
