                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         45.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:14,2013/08/04T18:09:54,          0.050,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:14,2013/08/04T18:11:00,          0.038,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:14,2013/08/04T18:12:13,        136.480,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         27.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:15,2013/08/04T18:09:16,          8.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:16,2013/08/04T18:09:16,         12.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          2.917,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:16,2013/08/04T18:09:46,          0.100,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:16,2013/08/04T18:09:55,          0.077,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         43.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:18,2013/08/04T18:09:28,          0.300,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:18,2013/08/04T18:09:48,          0.133,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         20.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:19,2013/08/04T18:09:20,          5.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:20,2013/08/04T18:09:20,          3.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:21,2013/08/04T18:09:21,          5.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:22,2013/08/04T18:09:22,          8.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:22,2013/08/04T18:11:09,          0.047,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         11.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:23,2013/08/04T18:09:24,          2.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:24,2013/08/04T18:09:24,         17.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:24,2013/08/04T18:09:34,          0.300,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:25,2013/08/04T18:09:25,         41.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:25,2013/08/04T18:09:35,          0.300,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:26,2013/08/04T18:09:26,         18.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:26,2013/08/04T18:09:27,          4.500,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:27,2013/08/04T18:09:27,         46.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:28,2013/08/04T18:09:28,         37.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:29,2013/08/04T18:09:29,         56.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:29,2013/08/04T18:09:30,          5.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:30,2013/08/04T18:09:30,         45.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:30,2013/08/04T18:09:53,          0.174,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:31,2013/08/04T18:09:31,         23.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:31,2013/08/04T18:09:53,          0.182,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:32,2013/08/04T18:09:32,         20.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:32,2013/08/04T18:09:58,          0.577,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:32,2013/08/04T18:10:03,          0.161,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:32,2013/08/04T18:11:21,          0.046,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:33,2013/08/04T18:09:33,         30.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:33,2013/08/04T18:09:43,          0.300,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:34,2013/08/04T18:09:34,         91.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:34,2013/08/04T18:11:23,          0.037,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:35,2013/08/04T18:09:35,         78.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:36,2013/08/04T18:09:36,         59.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:37,2013/08/04T18:09:37,         47.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:38,2013/08/04T18:09:38,         35.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:38,2013/08/04T18:09:50,         10.667,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:38,2013/08/04T18:09:58,          3.700,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:39,2013/08/04T18:09:39,         25.000,
                              10.5.11.2,                              10.5.10.2,2013/08/04T18:09:39,2013/08/04T18:09:40,          6.000,
