                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         45.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:14,2013/08/04T18:09:15,          5.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:14,2013/08/04T18:10:26,        144.153,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         41.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:16,2013/08/04T18:09:16,          9.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          5.479,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         41.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:18,2013/08/04T18:11:05,          0.047,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:18,2013/08/04T18:11:06,          0.046,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         20.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:19,2013/08/04T18:09:20,          2.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:19,2013/08/04T18:11:06,          0.065,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:20,2013/08/04T18:09:20,         11.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:20,2013/08/04T18:09:22,        256.500,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:20,2013/08/04T18:11:06,          0.057,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:21,2013/08/04T18:09:21,         13.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         27.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:22,2013/08/04T18:11:09,          0.047,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         25.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:23,2013/08/04T18:09:24,          2.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:24,2013/08/04T18:09:24,         17.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:24,2013/08/04T18:09:34,          0.300,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:25,2013/08/04T18:09:25,         30.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:25,2013/08/04T18:09:53,          0.071,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:25,2013/08/04T18:11:14,          0.009,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:26,2013/08/04T18:09:26,         14.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:26,2013/08/04T18:09:27,          4.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:27,2013/08/04T18:09:27,         45.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:27,2013/08/04T18:11:16,          0.046,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:28,2013/08/04T18:09:28,         39.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:28,2013/08/04T18:11:16,          0.046,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:29,2013/08/04T18:09:29,         36.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:29,2013/08/04T18:11:18,          0.046,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:30,2013/08/04T18:09:30,         21.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:30,2013/08/04T18:09:31,          6.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:30,2013/08/04T18:09:40,          0.300,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:30,2013/08/04T18:10:21,          0.078,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:30,2013/08/04T18:10:26,          0.071,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:31,2013/08/04T18:09:31,         20.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:31,2013/08/04T18:11:19,          0.046,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:32,2013/08/04T18:09:32,         39.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:33,2013/08/04T18:09:33,         44.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:33,2013/08/04T18:09:36,         70.667,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:34,2013/08/04T18:09:34,         68.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:34,2013/08/04T18:09:35,          5.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:34,2013/08/04T18:09:47,          8.154,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:34,2013/08/04T18:11:22,          0.046,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:35,2013/08/04T18:09:35,         92.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:35,2013/08/04T18:11:24,          0.037,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:36,2013/08/04T18:09:36,         51.000,
                              10.5.11.2,                               10.5.3.2,2013/08/04T18:09:36,2013/08/04T18:09:37,          6.000,
