                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         75.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:14,2013/08/04T18:09:15,          5.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:14,2013/08/04T18:09:44,          0.133,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         37.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:15,2013/08/04T18:11:01,          0.047,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:16,2013/08/04T18:09:16,         12.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          5.542,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:16,2013/08/04T18:09:46,          0.100,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:16,2013/08/04T18:10:16,          0.100,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:16,2013/08/04T18:10:40,          0.036,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         21.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:18,2013/08/04T18:09:28,          0.300,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         26.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:19,2013/08/04T18:09:20,          5.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:20,2013/08/04T18:09:20,         30.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:21,2013/08/04T18:09:21,         22.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:21,2013/08/04T18:10:18,          0.018,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         18.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         14.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:23,2013/08/04T18:11:10,          0.042,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:24,2013/08/04T18:09:24,         15.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:24,2013/08/04T18:09:25,          4.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:25,2013/08/04T18:09:25,         22.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:26,2013/08/04T18:09:26,         10.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:26,2013/08/04T18:09:27,          4.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:26,2013/08/04T18:11:15,          0.037,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:27,2013/08/04T18:09:27,         31.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:27,2013/08/04T18:09:37,          0.300,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:27,2013/08/04T18:09:53,          0.154,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:28,2013/08/04T18:09:28,         15.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:29,2013/08/04T18:09:29,         48.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:29,2013/08/04T18:11:18,          0.046,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:30,2013/08/04T18:09:30,         43.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:30,2013/08/04T18:09:31,          8.000,
                              10.5.11.2,                              10.5.17.2,2013/08/04T18:09:31,2013/08/04T18:09:31,         12.000,
