                              10.5.11.2,                               10.5.4.2,2013/08/04T21:07:01,2013/08/04T21:09:01,          0.017,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         55.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:14,2013/08/04T18:09:15,          5.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:14,2013/08/04T18:09:44,          0.133,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         24.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:16,2013/08/04T18:09:16,          2.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          8.083,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:16,2013/08/04T18:09:36,          0.100,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         11.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:18,2013/08/04T18:09:28,          2.800,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:18,2013/08/04T18:09:41,          4.043,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         31.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:19,2013/08/04T18:09:20,          3.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:20,2013/08/04T18:09:20,          4.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:20,2013/08/04T18:09:21,          4.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:21,2013/08/04T18:09:21,         12.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         27.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:22,2013/08/04T18:09:59,          0.054,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         16.000,
                              10.5.11.2,                               10.5.4.2,2013/08/04T18:09:24,2013/08/04T18:09:24,         19.000,
