                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         25.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:14,2013/08/04T18:09:15,          5.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         33.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:15,2013/08/04T18:09:16,          3.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:16,2013/08/04T18:09:16,         14.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          4.361,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:16,2013/08/04T18:09:46,          0.133,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         25.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:18,2013/08/04T18:11:05,          0.047,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         22.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:19,2013/08/04T18:11:06,          0.047,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:20,2013/08/04T18:09:20,         22.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:21,2013/08/04T18:09:21,         25.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:21,2013/08/04T18:11:07,          0.066,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:21,2013/08/04T18:11:08,          0.047,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         31.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         20.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:23,2013/08/04T18:09:26,         51.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:24,2013/08/04T18:09:24,         30.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:24,2013/08/04T18:09:25,          4.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:24,2013/08/04T18:11:11,          0.047,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:25,2013/08/04T18:09:25,         30.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:26,2013/08/04T18:09:26,         19.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:26,2013/08/04T18:09:27,          3.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:27,2013/08/04T18:09:27,         21.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:27,2013/08/04T18:09:28,          5.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:28,2013/08/04T18:09:28,         20.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:28,2013/08/04T18:10:46,          0.064,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:29,2013/08/04T18:09:29,         12.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:29,2013/08/04T18:09:30,          5.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:30,2013/08/04T18:09:30,         46.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:31,2013/08/04T18:09:31,         37.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:32,2013/08/04T18:09:32,         19.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:32,2013/08/04T18:09:33,          5.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:33,2013/08/04T18:09:33,         69.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:33,2013/08/04T18:09:34,          5.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:33,2013/08/04T18:11:22,          0.046,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:34,2013/08/04T18:09:34,        106.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:34,2013/08/04T18:09:35,          5.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:35,2013/08/04T18:09:35,         63.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:35,2013/08/04T18:11:24,          0.046,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:36,2013/08/04T18:09:36,         56.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:36,2013/08/04T18:09:53,          0.235,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:37,2013/08/04T18:09:37,         50.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:38,2013/08/04T18:09:38,         60.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:38,2013/08/04T18:09:39,          5.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:38,2013/08/04T18:09:40,        105.500,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:38,2013/08/04T18:09:50,          6.958,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:38,2013/08/04T18:09:53,          2.333,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:38,2013/08/04T18:11:28,          0.045,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:39,2013/08/04T18:09:39,         40.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:39,2013/08/04T18:09:40,          6.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:40,2013/08/04T18:09:40,         34.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:41,2013/08/04T18:09:41,         24.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:41,2013/08/04T18:09:42,          5.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:42,2013/08/04T18:09:42,         55.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:42,2013/08/04T18:09:43,          5.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:43,2013/08/04T18:09:43,         37.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:43,2013/08/04T18:09:44,          6.000,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:43,2013/08/04T18:10:47,          0.063,
                              10.5.11.2,                              10.5.13.2,2013/08/04T18:09:44,2013/08/04T18:09:44,         23.000,
