                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:14,2013/08/04T18:09:14,         44.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:14,2013/08/04T18:09:15,          5.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:14,2013/08/04T18:09:44,          0.133,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:15,2013/08/04T18:09:15,         11.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:15,2013/08/04T18:09:16,        265.500,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:16,2013/08/04T18:09:16,          7.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:16,2013/08/04T18:09:28,          5.208,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:16,2013/08/04T18:09:46,          0.067,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         26.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:18,2013/08/04T18:09:48,          0.133,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:18,2013/08/04T18:10:15,          0.035,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         14.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:19,2013/08/04T18:09:49,          0.133,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:19,2013/08/04T18:11:06,          0.075,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:20,2013/08/04T18:09:20,         13.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:20,2013/08/04T18:09:30,          0.300,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:20,2013/08/04T18:11:07,          0.047,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:21,2013/08/04T18:09:21,          9.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         39.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:22,2013/08/04T18:11:09,          0.047,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:23,2013/08/04T18:09:23,         13.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:24,2013/08/04T18:09:24,         10.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:24,2013/08/04T18:09:25,          5.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:25,2013/08/04T18:09:25,         10.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:26,2013/08/04T18:09:26,         10.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:26,2013/08/04T18:09:27,          4.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:26,2013/08/04T18:11:15,          0.037,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:27,2013/08/04T18:09:27,         40.000,
                              10.5.11.2,                               10.5.8.2,2013/08/04T18:09:27,2013/08/04T18:09:37,          0.300,
