                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:12,2013/08/04T17:14:19,          4.286,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:12,2013/08/04T17:14:25,         22.846,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:12,2013/08/04T17:14:48,          0.222,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:13,2013/08/04T17:14:13,          4.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:14,2013/08/04T17:14:20,          8.500,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:15,2013/08/04T17:14:19,         12.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:17,2013/08/04T17:14:23,          8.167,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:17,2013/08/04T17:14:49,          1.563,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:19,2013/08/04T17:14:27,          6.250,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:20,2013/08/04T17:14:28,          2.500,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:20,2013/08/04T17:14:32,          2.583,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:20,2013/08/04T17:14:34,         25.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:25,2013/08/04T17:14:25,          1.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:28,2013/08/04T17:14:37,          5.556,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:28,2013/08/04T17:15:04,          1.417,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:31,2013/08/04T17:15:01,          5.367,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:32,2013/08/04T17:15:02,          6.033,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:33,2013/08/04T17:14:34,          4.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:34,2013/08/04T17:14:41,          0.857,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:34,2013/08/04T17:14:42,          6.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:35,2013/08/04T17:14:46,          4.364,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:36,2013/08/04T17:14:36,          6.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:38,2013/08/04T17:14:48,          0.400,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:40,2013/08/04T17:14:41,         13.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:41,2013/08/04T17:14:44,          2.333,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:44,2013/08/04T17:14:47,         70.667,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:45,2013/08/04T17:14:58,          3.923,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:46,2013/08/04T17:15:02,          3.188,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:47,2013/08/04T17:14:47,          1.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:47,2013/08/04T17:14:59,          4.333,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:48,2013/08/04T17:14:48,          1.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:49,2013/08/04T17:14:52,          3.667,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:49,2013/08/04T17:14:58,          4.889,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:52,2013/08/04T17:15:23,         13.548,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:58,2013/08/04T17:15:07,          5.444,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:14:59,2013/08/04T17:15:04,         10.000,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:15:00,2013/08/04T17:15:18,          2.833,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:15:02,2013/08/04T17:15:14,          1.417,
                              10.5.12.2,                              10.5.18.2,2013/08/04T17:15:02,2013/08/04T17:15:33,          5.355,
