                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:12,2013/08/04T17:14:12,          2.000,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:12,2013/08/04T17:14:13,         89.000,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:12,2013/08/04T17:14:19,          0.857,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:12,2013/08/04T17:14:42,          1.700,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:12,2013/08/04T17:14:47,          0.229,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:12,2013/08/04T17:14:48,          0.222,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:13,2013/08/04T17:14:19,          0.833,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:14,2013/08/04T17:15:08,          0.870,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:18,2013/08/04T17:14:29,          4.545,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:19,2013/08/04T17:14:19,          2.000,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:19,2013/08/04T17:14:26,          7.143,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:22,2013/08/04T17:14:52,         13.733,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:22,2013/08/04T17:14:54,          1.625,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:25,2013/08/04T17:14:25,          1.000,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:25,2013/08/04T17:14:29,         12.000,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:28,2013/08/04T17:14:36,          6.125,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:29,2013/08/04T17:14:29,         12.000,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:29,2013/08/04T17:14:37,          6.250,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:29,2013/08/04T17:14:41,          4.083,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:31,2013/08/04T17:15:42,          0.761,
                              10.5.12.2,                              10.5.20.2,2013/08/04T17:14:32,2013/08/04T17:14:39,          7.000,
