                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:12,2013/08/04T17:14:19,          0.857,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:12,2013/08/04T17:14:48,          0.236,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:12,2013/08/04T17:14:57,          0.200,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:14,2013/08/04T17:14:27,          3.846,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:14,2013/08/04T17:14:28,          3.500,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:14,2013/08/04T17:14:31,          3.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:15,2013/08/04T17:14:15,          1.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:15,2013/08/04T17:14:30,          6.600,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:16,2013/08/04T17:14:16,          1.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:16,2013/08/04T17:14:23,          6.714,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:17,2013/08/04T17:14:20,          8.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:18,2013/08/04T17:14:37,          3.421,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:19,2013/08/04T17:14:33,         28.929,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:23,2013/08/04T17:14:23,          1.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:32,2013/08/04T17:15:02,          5.767,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:34,2013/08/04T17:14:41,          0.857,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:35,2013/08/04T17:14:47,          0.417,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:38,2013/08/04T17:15:08,          8.067,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:40,2013/08/04T17:14:41,          6.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:42,2013/08/04T17:14:48,          8.167,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:44,2013/08/04T17:15:04,         39.650,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:46,2013/08/04T17:15:02,          3.313,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:47,2013/08/04T17:14:47,          1.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:50,2013/08/04T17:15:48,          0.879,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:51,2013/08/04T17:14:56,          9.800,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:51,2013/08/04T17:15:04,          4.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:52,2013/08/04T17:14:54,          6.500,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:53,2013/08/04T17:15:23,          7.333,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:54,2013/08/04T17:15:01,          7.143,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:58,2013/08/04T17:15:04,          0.833,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:58,2013/08/04T17:15:33,          0.229,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:59,2013/08/04T17:15:00,          6.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:14:59,2013/08/04T17:15:14,          2.400,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:00,2013/08/04T17:15:31,          3.565,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:00,2013/08/04T17:15:38,          1.316,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:02,2013/08/04T17:16:05,          0.794,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:04,2013/08/04T17:15:11,          6.857,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:05,2013/08/04T17:15:08,          2.667,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:06,2013/08/04T17:15:09,         10.333,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:06,2013/08/04T17:15:15,          4.667,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:07,2013/08/04T17:15:16,          5.444,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:09,2013/08/04T17:15:09,          1.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:11,2013/08/04T17:15:11,          5.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:12,2013/08/04T17:15:12,          3.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:13,2013/08/04T17:15:25,          4.250,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:16,2013/08/04T17:15:29,          3.846,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:17,2013/08/04T17:15:26,          5.556,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:19,2013/08/04T17:15:26,          0.829,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:19,2013/08/04T17:15:27,          4.875,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:23,2013/08/04T17:15:57,          1.353,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:24,2013/08/04T17:15:31,         16.571,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:25,2013/08/04T17:16:26,          0.820,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:26,2013/08/04T17:15:28,          3.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:29,2013/08/04T17:15:39,          5.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:30,2013/08/04T17:15:31,          6.000,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:31,2013/08/04T17:16:33,          0.806,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:32,2013/08/04T17:15:36,          7.750,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:33,2013/08/04T17:16:03,         11.133,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:33,2013/08/04T17:16:07,         15.118,
                              10.5.12.2,                               10.5.7.2,2013/08/04T17:15:35,2013/08/04T17:15:43,          6.250,
