                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:12,2013/08/04T17:14:19,          0.857,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:12,2013/08/04T17:14:20,         19.125,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:12,2013/08/04T17:14:25,         15.615,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:12,2013/08/04T17:14:27,          2.200,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:12,2013/08/04T17:14:47,          0.229,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:12,2013/08/04T17:14:48,          0.222,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:14,2013/08/04T17:14:14,          3.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:14,2013/08/04T17:14:25,          0.455,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:15,2013/08/04T17:14:15,         13.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:15,2013/08/04T17:14:28,          3.462,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:16,2013/08/04T17:14:16,         17.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:16,2013/08/04T17:14:27,          4.727,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:17,2013/08/04T17:14:22,         10.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:19,2013/08/04T17:14:51,          1.344,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:20,2013/08/04T17:14:20,          2.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:20,2013/08/04T17:14:39,         12.105,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:21,2013/08/04T17:14:32,         29.182,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:22,2013/08/04T17:14:22,         10.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:23,2013/08/04T17:14:29,          8.500,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:24,2013/08/04T17:14:24,          1.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:24,2013/08/04T17:14:31,          6.571,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:25,2013/08/04T17:14:25,          3.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:25,2013/08/04T17:14:34,          5.111,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:26,2013/08/04T17:14:32,          8.500,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:27,2013/08/04T17:14:57,          8.767,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:31,2013/08/04T17:14:39,          6.375,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:31,2013/08/04T17:14:49,          2.722,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:31,2013/08/04T17:15:01,          6.133,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:32,2013/08/04T17:15:02,          3.400,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:34,2013/08/04T17:14:34,          1.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:34,2013/08/04T17:14:41,          0.857,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:34,2013/08/04T17:14:42,          6.125,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:35,2013/08/04T17:14:45,          2.650,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:38,2013/08/04T17:15:08,          8.733,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:40,2013/08/04T17:15:10,          0.367,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:40,2013/08/04T17:15:41,          0.836,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:41,2013/08/04T17:14:53,          4.250,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:44,2013/08/04T17:14:52,          6.250,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:45,2013/08/04T17:14:45,          1.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:50,2013/08/04T17:15:00,          3.400,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:50,2013/08/04T17:15:21,         11.548,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:52,2013/08/04T17:15:00,          0.625,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:54,2013/08/04T17:15:03,          5.889,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:56,2013/08/04T17:15:26,          7.833,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:57,2013/08/04T17:15:33,          0.250,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:58,2013/08/04T17:15:04,          0.833,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:14:59,2013/08/04T17:15:02,          3.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:00,2013/08/04T17:15:03,         16.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:01,2013/08/04T17:15:12,          0.455,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:01,2013/08/04T17:15:33,          6.250,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:02,2013/08/04T17:15:33,          3.500,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:02,2013/08/04T17:15:34,          6.156,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:03,2013/08/04T17:15:35,          7.656,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:04,2013/08/04T17:15:10,          8.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:04,2013/08/04T17:15:34,         22.833,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:05,2013/08/04T17:15:17,          0.333,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:07,2013/08/04T17:15:08,         10.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:07,2013/08/04T17:15:17,          4.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:08,2013/08/04T17:15:27,          1.421,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:09,2013/08/04T17:15:21,          0.333,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:11,2013/08/04T17:15:13,          2.000,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:11,2013/08/04T17:15:23,          4.083,
                              10.5.12.2,                              10.5.10.2,2013/08/04T17:15:12,2013/08/04T17:15:12,          1.000,
