                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:12,2013/08/04T17:14:13,          2.500,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:12,2013/08/04T17:14:14,          1.500,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:12,2013/08/04T17:14:47,          0.229,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:12,2013/08/04T17:14:48,          0.222,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:13,2013/08/04T17:14:13,          2.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:13,2013/08/04T17:14:22,          3.111,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:16,2013/08/04T17:14:16,          8.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:20,2013/08/04T17:14:50,         10.533,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:21,2013/08/04T17:14:21,         12.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:21,2013/08/04T17:14:52,          8.613,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:22,2013/08/04T17:14:28,          8.167,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:24,2013/08/04T17:14:35,          4.364,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:25,2013/08/04T17:14:25,          1.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:25,2013/08/04T17:14:29,         52.500,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:27,2013/08/04T17:14:27,          1.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:29,2013/08/04T17:14:32,         54.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:33,2013/08/04T17:15:03,         10.900,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:34,2013/08/04T17:14:41,          0.857,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:39,2013/08/04T17:15:10,         11.968,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:40,2013/08/04T17:15:13,          1.485,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:43,2013/08/04T17:14:54,          4.545,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:47,2013/08/04T17:14:48,          3.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:47,2013/08/04T17:14:53,          8.333,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:48,2013/08/04T17:15:01,          3.077,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:49,2013/08/04T17:15:00,         14.182,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:50,2013/08/04T17:15:21,         12.290,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:51,2013/08/04T17:14:57,          8.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:51,2013/08/04T17:14:59,          5.375,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:53,2013/08/04T17:15:02,          5.667,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:53,2013/08/04T17:15:04,          4.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:56,2013/08/04T17:15:04,          6.375,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:58,2013/08/04T17:15:00,          2.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:58,2013/08/04T17:15:04,          0.833,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:14:58,2013/08/04T17:15:28,          9.567,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:00,2013/08/04T17:15:00,          5.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:03,2013/08/04T17:15:04,          4.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:11,2013/08/04T17:15:19,          6.125,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:11,2013/08/04T17:15:42,         21.806,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:12,2013/08/04T17:15:29,          3.471,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:14,2013/08/04T17:15:28,          2.500,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:16,2013/08/04T17:15:23,          7.143,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:17,2013/08/04T17:15:20,         67.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:18,2013/08/04T17:15:23,          9.600,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:19,2013/08/04T17:15:26,          0.857,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:19,2013/08/04T17:15:55,          0.250,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:21,2013/08/04T17:15:51,         11.800,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:22,2013/08/04T17:15:22,          5.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:23,2013/08/04T17:15:23,          5.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:23,2013/08/04T17:15:30,          7.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:27,2013/08/04T17:15:42,          3.400,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:27,2013/08/04T17:15:58,          8.323,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:29,2013/08/04T17:15:39,          5.000,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:30,2013/08/04T17:15:40,          4.800,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:30,2013/08/04T17:15:42,          0.333,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:33,2013/08/04T17:15:43,          4.900,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:35,2013/08/04T17:15:47,          2.083,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:35,2013/08/04T17:16:06,          7.968,
                              10.5.12.2,                              10.5.16.2,2013/08/04T17:15:36,2013/08/04T17:15:44,          4.875,
