                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:12,2013/08/04T17:14:19,          0.857,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:12,2013/08/04T17:14:48,          0.231,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:14,2013/08/04T17:14:15,          2.000,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:14,2013/08/04T17:14:22,          7.250,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:14,2013/08/04T17:14:41,         23.222,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:15,2013/08/04T17:14:15,          1.000,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:16,2013/08/04T17:14:20,         12.250,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:18,2013/08/04T17:14:28,          0.400,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:18,2013/08/04T17:14:31,         20.231,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:19,2013/08/04T17:14:49,         10.200,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:20,2013/08/04T17:14:50,         10.767,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:22,2013/08/04T17:14:22,          7.000,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:23,2013/08/04T17:14:23,          1.000,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:25,2013/08/04T17:14:25,          1.000,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:25,2013/08/04T17:14:34,          5.444,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:28,2013/08/04T17:14:28,          1.000,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:28,2013/08/04T17:14:40,          0.417,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:29,2013/08/04T17:14:41,          0.417,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:30,2013/08/04T17:14:42,          3.000,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:31,2013/08/04T17:14:41,          0.400,
                              10.5.12.2,                               10.5.9.2,2013/08/04T17:14:32,2013/08/04T17:14:32,          3.000,
