                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:12,2013/08/04T17:14:18,          8.167,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:12,2013/08/04T17:14:19,          0.857,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:12,2013/08/04T17:14:40,          1.214,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:12,2013/08/04T17:14:48,          0.236,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:13,2013/08/04T17:14:19,          0.833,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:14,2013/08/04T17:14:14,          3.000,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:14,2013/08/04T17:14:18,         12.000,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:17,2013/08/04T17:14:17,         12.000,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:17,2013/08/04T17:14:30,         21.154,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:19,2013/08/04T17:14:22,         13.667,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:19,2013/08/04T17:14:26,          5.571,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:20,2013/08/04T17:14:20,          6.000,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:20,2013/08/04T17:14:29,          5.778,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:20,2013/08/04T17:14:32,         26.583,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:20,2013/08/04T17:14:37,         11.412,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:21,2013/08/04T17:14:51,          9.267,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:22,2013/08/04T17:14:22,          5.000,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:25,2013/08/04T17:14:30,          9.400,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:25,2013/08/04T17:14:38,          1.846,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:27,2013/08/04T17:14:35,          6.125,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:32,2013/08/04T17:14:41,          5.556,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:32,2013/08/04T17:15:02,          6.100,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:33,2013/08/04T17:14:41,          6.000,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:34,2013/08/04T17:14:34,          1.000,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:34,2013/08/04T17:14:41,          0.857,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:34,2013/08/04T17:15:04,         25.433,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:35,2013/08/04T17:14:42,          7.000,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:35,2013/08/04T17:14:52,          2.176,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:37,2013/08/04T17:14:47,          3.600,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:39,2013/08/04T17:14:39,         12.000,
                              10.5.12.2,                               10.5.5.2,2013/08/04T17:14:40,2013/08/04T17:14:42,         14.250,
