                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:11,2013/08/04T17:14:13,         13.000,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:12,2013/08/04T17:14:12,         10.000,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:12,2013/08/04T17:14:47,          0.229,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:12,2013/08/04T17:14:48,          0.222,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:13,2013/08/04T17:14:19,          0.833,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:16,2013/08/04T17:14:16,         11.000,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:17,2013/08/04T17:14:26,          5.444,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:18,2013/08/04T17:14:21,         69.333,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:19,2013/08/04T17:14:30,          4.364,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:20,2013/08/04T17:14:37,          7.412,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:21,2013/08/04T17:14:21,          6.000,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:21,2013/08/04T17:14:32,          0.364,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:25,2013/08/04T17:14:25,          1.000,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:25,2013/08/04T17:14:55,         13.567,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:28,2013/08/04T17:14:38,          4.800,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:31,2013/08/04T17:14:31,          7.000,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:32,2013/08/04T17:14:32,          8.000,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:32,2013/08/04T17:14:53,          2.381,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:32,2013/08/04T17:15:02,          3.367,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:33,2013/08/04T17:14:47,          3.500,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:34,2013/08/04T17:14:41,          0.857,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:35,2013/08/04T17:14:45,          3.500,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:35,2013/08/04T17:14:52,          3.118,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:36,2013/08/04T17:14:45,          2.111,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:37,2013/08/04T17:14:47,          0.400,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:42,2013/08/04T17:14:49,          7.000,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:45,2013/08/04T17:15:02,          2.824,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:47,2013/08/04T17:14:47,          1.000,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:49,2013/08/04T17:15:00,         15.818,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:52,2013/08/04T17:14:59,          5.286,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:14:58,2013/08/04T17:15:04,          0.833,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:15:00,2013/08/04T17:15:33,          1.515,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:15:01,2013/08/04T17:15:07,          8.333,
                              10.5.12.2,                               10.5.8.2,2013/08/04T17:15:01,2013/08/04T17:15:36,          6.200,
