0,519743,
2560,0,
2050,0,
1540,0,
1030,2,
520,63,
10,63813,
2060,0,
1550,0,
1040,0,
530,50,
20,23408,
2990,0,
2070,0,
1560,0,
2820,0,
1050,0,
540,45,
2650,0,
30,4355,
2080,0,
1570,0,
1060,1,
550,48,
40,5052,
2090,0,
1580,0,
1070,2,
560,32,
50,880,
2100,0,
2910,0,
1590,0,
1080,0,
2740,0,
570,42,
60,2984,
2570,0,
2110,0,
1600,0,
1090,1,
580,35,
70,105,
2120,0,
1610,1,
1100,0,
590,14,
80,24,
2130,0,
1620,0,
2830,0,
1110,0,
600,23,
2660,0,
90,29,
2140,0,
1630,0,
1120,0,
610,21,
100,19,
2150,0,
1640,0,
1130,0,
620,23,
110,18,
2160,0,
2920,0,
1650,0,
1140,0,
2750,0,
630,19,
120,27,
2580,0,
2170,0,
1660,0,
1150,0,
640,29,
130,17,
2180,0,
1670,0,
1160,1,
650,16,
140,25,
2190,0,
1680,0,
2840,0,
1170,1,
660,15,
2670,0,
150,24,
2200,0,
1690,0,
1180,0,
670,16,
160,11,
2210,0,
1700,0,
1190,0,
680,11,
170,23,
2220,0,
2930,0,
1710,0,
1200,0,
2760,0,
690,7,
180,19,
2590,0,
2230,0,
1720,0,
1210,0,
700,6,
190,10,
2240,0,
1730,0,
1220,0,
710,2,
200,25,
2250,0,
1740,0,
2850,0,
1230,0,
720,9,
2680,0,
210,20,
2260,0,
1750,0,
1240,1,
730,3,
220,19,
2270,0,
1760,0,
1250,1,
740,2,
230,21,
2280,0,
2940,0,
1770,0,
1260,0,
2770,0,
750,7,
240,18,
2600,0,
2290,0,
1780,0,
1270,0,
760,3,
250,21,
2300,0,
1790,0,
1280,0,
770,6,
260,23,
2310,0,
1800,0,
2860,0,
1290,0,
780,2,
2690,0,
270,21,
2320,0,
1810,0,
1300,0,
790,3,
280,30,
2330,0,
1820,0,
1310,0,
800,2,
290,22,
2340,0,
2950,0,
1830,0,
1320,0,
2780,0,
810,0,
300,29,
2610,0,
2350,0,
1840,1,
1330,0,
820,1,
310,27,
2360,0,
1850,0,
1340,0,
830,5,
320,23,
2370,0,
1860,0,
2870,0,
1350,0,
840,2,
2700,0,
330,30,
2380,0,
1870,0,
1360,0,
850,2,
340,22,
2390,0,
1880,0,
1370,0,
860,2,
350,24,
2400,0,
2960,0,
1890,0,
1380,0,
2790,0,
870,2,
360,26,
2620,0,
2410,0,
1900,0,
1390,0,
880,2,
370,29,
2420,0,
1910,0,
1400,2,
890,1,
380,29,
2430,0,
1920,0,
2880,0,
1410,0,
900,3,
2710,0,
390,36,
2440,0,
1930,0,
1420,0,
910,0,
400,26,
2450,0,
1940,0,
1430,0,
920,2,
410,29,
2460,0,
2970,0,
1950,0,
1440,0,
2800,0,
930,0,
420,29,
2630,0,
2470,0,
1960,0,
1450,0,
940,3,
430,26,
2480,0,
1970,0,
1460,1,
950,0,
440,34,
2490,0,
1980,0,
2890,0,
1470,0,
960,1,
2720,0,
450,34,
2500,0,
1990,0,
1480,0,
970,1,
460,54,
2510,0,
2000,0,
1490,0,
980,0,
470,47,
2520,0,
2980,0,
2010,0,
1500,0,
2810,0,
990,1,
480,47,
2640,0,
2530,0,
2020,0,
1510,0,
1000,1,
490,53,
2540,0,
2030,0,
1520,0,
1010,0,
500,52,
2550,0,
2040,0,
2900,0,
1530,0,
1020,1,
2730,0,
510,42,
